"S. No","Project Registration No.","Name and Address of the Promoter","Project Details and Address","Approval Details","Project Completion Date","Other Details","Form-c","Current Status of the Project"
"66","TNRERA/35/BLG/0066/2026                                 dated 03-03-2026","M/s. Guindy Tech Park LLP, Flat No.NO.C-45, 2ND FLOOR , THIRU VI KA INDUSTRIAL ESTATE , Guindy, Chennai - 600  032, Chennai, Tamil Nadu-","Project Name: LOTUSRegistration for Basement + Ground + 3 Floors Commercial Office Building at  already approved Layout MLPA No : 61/2023 , Plot No:3 , Rajiv Gandhi Salai (Omr) , Egattur , Chennai - 600 130. Comprised in S.Nos: 10/1A2 ,  10/1B2A  of  Egattur  Village , Thiruporur  Taluk , Chengalpattu District.","The Assistant Director , T&CP , Chengalpattu District has issued planning permission vide letter No. SWP/BPA/447438/2025 dated 28.04.2025. The President , Mutthukaadu Village Panchayat  has issued building permission vide letter No. 18-2025-2026 dated 07.05.2025.","31.03.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.09;Longitude-80.07;","",""
"67","TNRERA/29/BLG/0067/2026                                 dated 03-03-2026","Vijay Raghav Acharyulu Jakkala, Door No.T BLOCK OLD NO 79 NEW NO 24A,, 5TH MAIN ROAD , ANNA NAGAR EAST,, Chennai Village , chennai, Chennai, Tamil Nadu-600040.                                                                        Triveni Jakkala, Flat No.T BLOCK OLD NO 79 NEW NO 24A,, 5TH MAIN ROAD , ANNA NAGAR EAST,, Chennai Village , chennai, Chennai, Tamil Nadu-600040.","Registration for Construction of Stilt Floor (Parking) + 1st & 2nd Floor (Office) 3rd & 4th Floor Residential Building with 1 dwelling units At Plot No.4290, Door No.79, T Block, 5th Main Road, Anna Nagar, Chennai Comprised in Old S.No. 91 part, T.S.No.550, Block No: 2, Ward No.1 of Mullam Village, Aminjikarai Taluk, Chennai District.","CMDA issued Planning Permission No. CMDA/PP/NHRB/N/0598/2022 dated 26/05/2023. The Greater Chennai Corporation issued building permission No. CEBA/WDCN08/00075/2024 dated 13/02/2024.","Completed","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.08;Longitude-80.21;","","Completed"
"68","TNRERA/2/BLG/0068/2026                                 dated 03-03-2026","M/s. ARC DEVELOPERS, Door No.34/5F6, FLOOR NO 5,CROWN COURT, CATHEDRAL ROAD, Chennai, Tamil Nadu-600086.","Project Name: VIVENZARegistration for construction of Stilt Floor + 5 Floors Residential Building with 30 Dwelling Units with affordable housing at Plot No.27 part, 28 part, 29 & 30, Swathi Nagar Main Road & Swathi Nagar Road, Swathi Nagar, Nadukuthagai, Chennai comprised in S.No.32/1C of Nadukuthagai Village, Avadi Taluk (Previously Poonamallee Taluk) Tiruvallur District.","CMDA, Planning Permission No.OL-PP/NHRB/0468/2025 issued in letter No.CMDA/PP/NHRB/C/0134/2025 dated 21/11/2025. The President, Poonamallee Panchayat union, Poonamallee Taluk, Chennai District issued in building permission No.01/2026 dated 02/01/2026.","01.03.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.134655;Longitude-80.047043;","","Revised Carpet Area Statement"
"69","TNRERA/11/BLG/0069/2026                                 dated 03-03-2026","M/S LAND & BUILDINGS, Door No.3G Pearl Block, Rajiv Gandhi Nagar 6th Street, Sowripalayam, Coimbatore, Tamil Nadu-641028.","Project Name: Kovai PavillionRegistration for Stilt Floor + 5 Floors with 23 Dwelling Units comprised in 23 Old S.F. No.230/2pt - Ward No. AI(35) - Block No.82 – T.S. NO.58/4 of Singanallur Village, Coimbatore South Taluk, Coimbatore District.","The Joint Director, T&CP, Coimbatore District, issued Planning Permission No. 329/2025 in Application No. SWP/BРA/500350/2025, Dated 05/06/2025. The Commissioner, Coimbatore City Municipal Corporation, issued Building Permission in Letter No. 162/BL/2025/02/057/01342, Dated 22/07/2025.","25.03.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.007232;Longitude-77.052904;","",""
"70","TNRERA/11/BLG/0070/2026                                 dated 03-03-2026","CASAGRAND COVAAN PRIVATE LIMITED, 2nd Floor No 1-A, Sri Dwaraka, B R Nagar Main Road, Singanallur Post, Coimbatore, Tamil Nadu-641005.","Project Name: CASAGRAND ASCENTIARegistration for Group Development Building consists of 3 Blocks with Combined Basement, Block 1: Ground Floor + 5 Upper Floors with 53 Dwelling Units, Block 2: Ground floor + 5 Upper Floors with 70 Dwelling Units, Block 3 with Clubhouse : Ground Floor (Part) + First Floor (pat) + 3 Upper Floors 115 D/u), Clubhouse: Ground Floor (part)+ First Floor (part) with Swimming Pool on the Ground level, Totally 238 Dwelling Units comprised in Survey Nos. 371/1A1A, 473/1B2, 474/1A, 474/1B & 474/1C of Chinnavedampatti Village, Coimbatore North Taluk, Coimbatore city Municipal corporation, Coimbatore District.","The Joint Director, T&CP, Coimbatore, issued Planning Permission No. 91/2026 in  Application No.SWP/BPA/678357/2025, Dated 06.02.2026. The Commissioner, Coimbatore City Municipal Corporation, issued Building Permission in Letter No.162/CP/25-26/0366079, Dated 20/02/2026.","06.08.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.093925;Longitude-76.974917;","",""
"71","TNRERA/29/BLG/0071/2026                                 dated 03-03-2026","M/s Sri Kausalya Constructions Limited, Represented by Managing Director  Mr. Y Meera Reddy and  Murugappa Chettiar Trust Represented by its Managing Trustee Mr. M M Murugappan, Door No.4,, Jayalakshmipuram, First Street,, Nungambakkam, Chennai, Tamil Nadu-600034.","Project Name: SKCL SummitRegistration for High Rise Building (HRB) consisting of Extended Double Basement Floor + Stilt Floor (Part) + Ground Floor (Part) + 12 Floors Office use Commercial Building at Plot No.6, New Door No.47/C, Old No.30, Gandhi Mandapam Road and Ambadi Road, Kotturpuram, Chennai 600085 in T.S.No.5/21, 6/31 & 6/63, Block No.16 of Adayar Village within the limit of Greater Chennai Corporation, Chennai District.","CMDA issued Planning Permission No. OL-PP/HRB/0001/2022 in Letter No. CMDA/PP/HRB/S/0312/2022, Dated 10/12/2022. Greater Chennai Corporation issued Building Permission in Letter No. CEBA/WDCN13/00003/2023, Dated 02/01/2023.","Completed","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.021653;Longitude-80.242127;","","Completed"
"72","TNRERA/11/BLG/0072/2026                                 dated 03-03-2026","Greenfield housing india private limited, Door No.48/2, Surampatti, Erode - 638011, Erode, Tamil Nadu-","Project Name: PEARL VISTARARegistration for Stilt Floor + 5 Floors Residential Building with 18 Dwelling Units at comprised in S.F.No.114/5A1D of Kalapatti (West) Village, Coimbatore North Taluk, Coimbatore District.","The Joint Director, T&CP, Coimbatore  issued Planning Permission No. 846/2025 in Letter No. SWP/BPA/676542/2025, Dated 25/11/2025. The Commissioner, Coimbatore Corporation issued Building Permission in Letter No. 162/BL/2026/02/005/00034, Dated 06/01/2026.","04.01.2031","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-110506.7;Longitude-770145.8;","",""
"73","TNRERA/11/BLG/0073/2026                                 dated 04-03-2026","M/s.SREE SHARADHA AMBAL FOUNDATIONS, Door No.33, Sundaresa Layout, Trichy Road, Coimbatore, Tamil Nadu-641018.                                                                        M/s.Primier Engineers, Door No.Old No. 1144, New No.672, Trichy Road, Singanallur, Coimbatore, Tamil Nadu-641005.                                                                        M/s.Premier Pumps, Door No.Old No. 1139, New No. 661, 666, 669, Trichy Road, Singanallur, Coimbatore, Tamil Nadu-641005.                                                                        M/s. Primier Hitech Industries Private Limited, Door No.No. 670, 671, Trichy Road, Singanallur, Coimbatore, Tamil Nadu-641005.","Project Name: SUMMIT 1Registration of Basement + Ground floor + 10 floors commercial building comprised in T.S.No. 1, Block No: 5, Ward No. 30 of Uppilipalayam Village, T.S.No. 22 & 18 Block No. 9, old Ward No. 29, New ward No. AC of Sowripalayam Village, Coimbatore South Taluk, Coimbatore District.","The Joint Director, T&CP, Coimbatore District issued Planning permission No. 629/2024 in Letter No. SWP/BPA/0200930 dated 29/10/2024. The Commissioner, Coimbatore Corporation issued Building permission No. 162/BL/2024/02/061/03365 in Letter No. 162/CP/24-25/0183245 dated 05/12/2024.","28.10.2032","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-10.99689783069624;Longitude-77.0076072065574;","",""
"74","TNRERA/29/BLG/0074/2026                                 dated 04-03-2026","M/s.BLUEMOON PROPERTIES, Door No.NO 15/4, 1ST FLOOR, 12TH AVENUE, ASHOK NAGAR, Chennai, Tamil Nadu-600083.                                                                        R VIJAYAKUMAR, Door No.13-A/14, KALAIMAGAL NAGAR, 3RD MAIN ROAD, EKKATTUTHANAGAL, Chennai, Tamil Nadu-600032.","Project Name: BLUEMOON PARADISERegistration for Stilt Floor + 5 Floors Residential Building with 10 Dwelling Units at Old Door No.9 part, New door No.11 part, Ashtalakshmi Nagar 19th Street, Alapakkam, Chennai comprised in Old S.No.341/1D1 part and New S.No.341/1D1B of Maduravoyal Village, Maduravoyal Taluk, Chennai District.","CMDA issued Planning Permission No.OL-PP/NHRB/0438/2025 in Letter No.CMDA/PP/NHRB/C/0184/2025 dated 06/11/2025. Greater Chennai Corporation issued Building Permission in Letter No.CEBA/WDCN11/00487/2025 dated 26/11/2025.","31.12.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.048738;Longitude-80.168028;","",""
"75","TNRERA/29/BLG/0075/2026                                 dated 06-03-2026","M/s. AAnirudh Flat Promoters (P).Ltd, Plot No.4/10,, Lakshmi Nagar,10th Street, Nanganallur Village , CHENNAI, Chennai, Tamil Nadu-600061.                                                                        Geetha Nagaraj, Plot No.4/10, LAKSHMI NAGAR 10TH STREET, Nanganallur Village , CHENNAI, Chennai, Tamil Nadu-600061.                                                                        Chandramouli, Plot No.4/10, LAKSHMI NAGAR 10TH STREET, Nanganallur Village , chennai, Chennai, Tamil Nadu-600061.                                                                        Srinivas shankar, Plot No.4/10, LAKSHMI NAGAR 10TH STREET, Nanganallur Village , chennai, Chennai, Tamil Nadu-600061.                                                                        Muthurajan Ramaswamy, Plot No.4/10, LAKSHMI NAGAR 10TH STREET, Nanganallur Village , chennai, Chennai, Tamil Nadu-600061.                                                                        S N Karthikeyan, Plot No.4/10, LAKSHMI NAGAR 10TH STREET, Nanganallur Village , chennai, Chennai, Tamil Nadu-600061.                                                                        PADMA MURALI, Plot No.4/10, LAKSHMI NAGAR 10TH STREET, NANGANALLUR Village , CHENNAI, Chennai, Tamil Nadu-600061.                                                                        PADMA SESHADRI, Plot No.4/10, LAKSHMI NAGAR 10TH STREET, NANGANALLUR Village , CHENNAI, Chennai, Tamil Nadu-600061.                                                                        ANIRUDH CHANDRASEKARAN, Plot No.4/10, lakshmi nagar 10th street, nanganallur Village , chennai, Chennai, Tamil Nadu-600061.                                                                        N Ramakrishnan, Plot No.4/10, LAKSHMI NAGAR 10TH STREET, nanganallur Village , chennai, Chennai, Tamil Nadu-600006.","Project Name: AANIRUDH VASANTHAMRegistration for Stilt floor + 5 Floors (Height – 18.30 m) Residential Building with 16 Dwelling Units at Plot E-5, Door No. 8, 42nd Street, NCBS Colony, Nanganallur, Chennai - 600061 And Comprised in Old S. No. 29 (Part) & 30 (Part) (As Per Document), New T.S. No. 36/1 & 36/2, Block No. 19,( As Per Patta) Ward-B of Nanganallur Village, Alandur Taluk, Chennai District.","CMDA issued Planning Permission No.OL-PP/NHRB/0010/2026 in Lr No.CMDA/PP/NHRB/S/0906/2025 dated 08/01/2026. Greater Chennai Corporation issued building permission in Lr No: CEBA/WDCN12/00016/2026 dated 14/01/2026.","29.06.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.5824798;Longitude-80.1149812;","",""
"76","TNRERA/11/BLG/0076/2026                                 dated 10-03-2026","ACESTAR PROPERTIES PRIVATE LIMITED, Door No.5, South Mada Street, Sri Nagar Colony, Saidapet, Chennai, Tamil Nadu-600015.","Project Name: TURINRegistration for Stilt Floor + 5 Floors residential Building with 113  Dwelling Units  at Ward T - Block 27  comprised in T.S.Nos: 1/4, 1/5, 2/4, 6/2, 6/3, 8/2, 8/4 & 8/5 of Ganapathy Village, Coimbatore North Taluk, Coimbatore District.","The Joint Director, T&CP, Coimbatore District, issued Planning Permission No. 943/2025 in Letter No.SWP/BPA/553638/2025, Dated 31/12/2025. The Commissioner, Coimbatore Corporation, issued Building Permission in Letter No. 162/BL/2026/04/020/00246, Dated 13/02/2026.","30.12.2033","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.029803;Longitude-76.966197;","",""
"77","TNRERA/29/BLG/0077/2026                                 dated 10-03-2026","M/s.MAHALAKSHMI ASSOCIATES PRIVATE LIMITED, Door No.107, P.S.SIVASAMY SALAI,  MYLAPORE, Chennai, Tamil Nadu-600004.","Project Name: MAYURAMRegistration for Stilt floor + 4 floor + 5th floor part Residential Building with 34 Dwelling units at Madha Nagar 2nd Main Road, Madhanandapuram, Porur, Chennai comprised in Old S.No.99/1 (Part), New S.No.99/1B, 99/1C & 99/1D of Madhanandapuram Village, Alandur Taluk, Chennai District.","CMDA issued Planning Permission No.OL-PP/NHRB/0001/2026 in Letter No.CMDA/PP/NHRB/S/0800/2025 dated 02/01/2026. Greater Chennai Corporation issued Building Permission in Letter No.CEBA/WDCN12/00014/2026 dated 19/01/2026.","31.12.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.041098;Longitude-80.26738;","",""
"78","TNRERA/32/BLG/0078/2026                                 dated 10-03-2026","CASAGRAND COVAAN PRIVATE LIMITED, ""Sri Dwaraka 2nd Floor No 1-A, B R Nagar Main Road, Singanallur Post, Coimbatore 641005 "", COIMBATORE, Coimbatore, Tamil Nadu-641005.","Project Name: CASAGRAND BLOSSOMSRegistration for Non High Rise Group Development Consist of 114 Blocks, Block Nos . 1 to 113 with  Ground Floor + 1 Floors with 113 Dwelling units, Block 114 (Amenity Block) Comprised in S.No. 177/1, 177/2, 177/3, 177/4, 177/5, 177/6, 177/7, 178/1A1, 178/1A2, 178/1A3, 178/1A4, 178/1A5, 178/1A6, 178/1A7A, 178/1B, 179/3A1, 179/3A2, 185/1A, 185/1B, 185/1C, 185/1D, 185/2A, 185/2B & 185/2C of  Pongupalayam Village, Tiruppur North Taluk, Tiruppur District.","The Assistant Director, T&CP, issued Planning Permission No. 103/2026 in Letter No. SWP/BPA/706493/2025, Dated 25/02/2026. The Executive Officer/ The Special Officer of Pongupalayam Village Panchayat,  issued Building Permission in Letter Roc No: 32/PON/BPA/25-26, Dated 03/03/2026.","25.05.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.170938;Longitude-77.320236;","",""
"79","TNRERA/29/BLG/0079/2026                                 dated 10-03-2026","M/s.Raunaq Foundations, Door No.65A, Plot No.Rungta House, Halls Road, Kilpauk, Chennai, Tamil Nadu-600010.                                                                        V.Kalyani, Door No.2, Rajamannar Street, T.Nagar, Chennai, Tamil Nadu-600017.                                                                        C.Chandrasekar, Door No.2, Rajamannar Street, T.Nagar, Chennai, Tamil Nadu-600004.","Project Name: LIVERPOOLRegistration for High Rise Group development building for Residential use consisting of 2 Blocks with in Block No-1: Stilt Floor (for parking use) + 1st Floor (for parking use) + 2nd Floor to 9th Floor with 120 dwelling units, in Block No -2: G.Floor (Pump room & Electrical Transformer room) + 1st Floor & 2nd Floor (for Gym use), At Plot Nos. A & G, in the Greater Chennai Corporation. Approved Sub-Division No. SD/WDC No.3/00495/2021 dt.22.03.2022, abutting Manjambakkam Link Road (Milk Colony Road), Madhavaram, Chennai -600 060. Comprised in Old S.No.425, As per Patta No. T.S. No.85/1 part, 2 part & 3 part of Madhavaram Village, within the limits of Greater Chennai corporation, Madhavaram Taluk, Chennai District.","The CMDA issued planning permission No.OL-PP/HRB/0047/2025 in Letter No.CMDA/PP/HRB/N/0349/2025 dated 31/12/2025. The Greater Chennai Corporation issued building permission in Letter No.CEBA/WDCN03/00023/26 dated 19/01/2026.","30.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.160936;Longitude-80.231709;","",""
"80","TNRERA/35/BLG/0080/2026                                 dated 10-03-2026","AD REALTY, Door No.11D/2, BAJANAI KOIL 1ST STREET CHOOLAIMEDU, CHENNAI, Chennai, Tamil Nadu-600094.","Project Name: ECR EXOTICARegistration for Stilt Floor + 5 Floors residential building with 35 dwelling units at Plot No. 21, comprised in Survey No. 615/3C of Mugaiyur Village,  Thenpattinam Panchayat, Lathur Panchayat Union, Cheyyur Taluk, Chengalpattu District.","The Assistant Director, DTCP, Chengalpattu District issued planning permission No. SWP/Residential  Apartment Building/A.D/D.T.C.P(CD3) No. 98/2025, in Letter No. SWP/BPA/0593798/2025, dated 06/10/2025. The President, Thenpattinam Panchayat issued building permission in Letter ROC. No. 09/2025 - 26, dated 06/11/2025.","31.12.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.416635;Longitude-80.115838;","",""
"81","TNRERA/29/BLG/0081/2026                                 dated 10-03-2026","M/s.RAMANIYAM REALTORS LLP, Door No.14/67, 14/67 Third Main Road, Gandhi Nagar, Adyar, Chennai, Tamil Nadu-600020.                                                                        M/s.RAMANIYAM REALTORS LLP, 14/67 Third Main Road, Gandhi Nagar, Adyar, Chennai, Tamil Nadu-600028.                                                                        M/s.RAMANI REALTORS PRIVATE LIMITED,                                                                        M/s.Ramani Realtors Private Limited, 5, SECOND STREET, LAKSHMIPURAM, ROYAPTTAH, Chennai, Tamil Nadu-600014.","Project Name: RAMANIYAM SAI ARANYARegistration for Group Development comprising of 3 Blocks with combined extended double basement floor (meant for parking)+ Combined Stilt Floor (Meant for Parking & Block-1 Shop) consisting of Block-1: 1st & 2nd Floor Shop with 4 dwelling units & 3rd to 16th Floor with 42 dwelling units; Block - 2: 1st Floor Club House & 8 Dwelling Units + 2nd to 16 Floors with 195 Dwelling Units Block - 3: 1st to 16 Floors with 239 Dwelling Units (Totally 488 Dwelling Units) at comprised in S.Nos.21/3, 23/1B2C, 2B2, 25/2A and 67 (as per Document) and S.Nos.21/3A, 23/1B2C, 2B2, 25/2A1 and 67 (as per Patta) of Nerkundram village, Maduravoyal Taluk, Chennai District.","CMDA issued Planning Permission No.OL-PP/HRB/0035/2025 in Letter No. CMDA/PP/HRB/N/0543/2023 dated 25/08/2025. Greater Chennai Corporation issued Building Permission in Letter No. CEBA/WDCN11/00422/2025 dated 03/10/2025.","24.08.2033","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.070678;Longitude-80.186810;","",""
"82","TNRERA/29/BLG/0082/2026                                 dated 10-03-2026","M/s.PUSHKAR PROPERTIES PRIVATE LIMITED, Flat No.Ethiraj House, Door No.F-205, New No 26 F-Block First Street  Anna Nagar East, CHENNAI - 600102, Chennai, Tamil Nadu-","Project Name: TEMPLE RIDGERegistration for Developer Share of Flats Nos.1A, 1B, 1C, 2D, 2E, 3A, 3B, 4D, 4E, 5A, 5E (Total 11 Flats), Stilt Floor (parking) + 5 Floors Residential Building (Height -18.30m) with 30 Dwelling units, Availing Premium FSI at Old Door No: 243 to 254/2, New Door No:296/1 to 296/14, (Document), Door No: 254/1, 296/3, 296/5 to 296/12, 1B (Patta) Konnur High Road, Ayanavaram, Chennai 600023, Comprised in Old S.No.243, 254, 296/3, 296/4, and T.S.No: 4/2, 4/4, 5/2 to 5/11, Block No: 23 of Ayanavaram Village within the limits of Greater Chennai Corporation, Ayanavaram Taluk, Chennai District.","The CMDA issued planning permission No.OL-PP/NHRB/0397/2025 in Letter No.CMDA/PP/NHRB/N/0087/2025 dated 13/10/2025. The Greater Chennai Corporation issued building permission in Letter No.CEBA/WDCN08/00463/2025 dated 03/12/2025.","27.12.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.099948;Longitude-80.228903;","",""
"83","TNRERA/20/BLG/0083/2026                                 dated 10-03-2026","M/s.VISVAS PROMOTERS PRIVATE LIMITED (GPA Holder), VASUDHARA ENCLAVE NO 84 TPK ROAD ANDALPURAM MADURAI, MADURAI - 625003, Madurai, Tamil Nadu-                                                                       M/s.SUPRADEEP HOMES PRIVATE LIMITED (Land Owner), Door No.D-S01, D Block, Vajra Apartments,, No.202, Bye Pass Road,, Madurai - 625016, Madurai, Tamil Nadu-","Project Name: AMITARegistration for Group Development Residential Building Ground Floor + 1st Floor at Block Nos.1 to 20 with 40 Dwelling units Comprised S.No.26/1B, 26/2B, 26/3A1B, 26/3A2, 31/2, 31/3 of Thuvariman Village, Madurai West Taluk, Madurai District.","The Assistant Director, T&CP, Madurai District issued planning permission in Letter No.SWP/BPA/682777/2025 dated 15/11/2025. The Special Officer, Thuvariman Panchayat, Thiruparankundram Panchayat Union issued building permission in Letter No.14/2025-2026 dated 27/11/2025.","30.06.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-9.953534;Longitude-78.059871;","",""
"84","TNRERA/29/BLG/0084/2026                                 dated 10-03-2026","RAJUS FLAT PROMOTERS PRIVATE LIMITED, Flat No.OLD NO:2, NEW NO.1, NAVALAR NAGAR, THRIUMANGALAM ROAD, ANNA NAGAR, Chennai, Tamil Nadu-600040.","Project Name: RAJUS MARUTHIRegistration for Stilt Floor (parking) + 5 Floors (height 18.30m) Residential building with 60 dwelling units availing Premium FSI with TOD benefit at TNHB Maruthi Flats, Block No. M54 (1 to 12), Block No. M55 (1 to 12), Block No. M56 (1 to 12) Station Road, (Station to North Township School) TNHB, Korattur, Chennai - 600 080 comprised in Old S.No.1020/1A part, T.S.No.201, Block No. 43, Ward E of Korattur Village within the limits of Greater Chennai Corporation, Chennai District.","CMDA issued planning permission No. OL-PP/NHRB/0043/2026 (Planning Permit No.OL-02632) in Letter No. CMDA/PP/NHRB/N/0522/2025, dated 30-01-2026. Greater Chennai Corporation issued building permission in Letter No. CEBA/WDCNO7/00053/2026, dated 05/02/2026.","30.07.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.111294;Longitude-80.182708;","",""
